position.lat,position.lon,fishing.totalDistanceKm,fishing.averageSpeedKnots,fishing.averageDurationHours,distances.startDistanceFromShoreKm,distances.endDistanceFromShoreKm,distances.startDistanceFromPortKm,distances.endDistanceFromPortKm,regions.eez12Nm,regions.highSeas,regions.eez,vessel.type_fishing,target_risk
-46.0262,-60.6725,6.206028757631168,0.4185792426838249,,398,400,413.615219,414.989469,[],['63203'],[],1,1
-46.0867,-60.7802,8.763764553300415,0.658712122137799,,394,389,409.753,405.44475,[],['63203'],[],1,1
-45.4676,-60.5667,1.93478922156399,0.3750000056500237,,387,387,408.017938,408.639438,[],['63203'],[],1,1
-2.2529,-27.9933,30.60991963298046,7.823076923076925,,513,527,514.812875,529.420375,[],['63203'],['8464'],1,0
20.2446,111.2865,11.057260973857964,1.403225806451613,,23,33,64.01777,68.832516,[],[],['8486'],1,0
22.0543,113.9139,11.564111460752494,2.6750000000000003,,2,2,0.0,2.061089,[],[],['8486'],1,0
-45.6729,-60.6415,5.428043747538172,0.4714285714285713,,387,388,406.0005,407.427812,[],['63203'],[],1,1
12.984,109.8408,37.299634551426,3.1625000000000005,,41,51,71.23920299999999,93.063102,[],[],['8484'],1,0
9.8536,107.0889,15.941201220283904,3.333333333333333,,36,50,42.25407,43.649645,[],[],['8484'],1,0
32.0016,126.4975,21.106801466341764,3.125757575757576,,142,121,145.665359,124.552391,[],[],['8327'],1,0
30.8334,127.0765,2.790177399402761,4.333333333333333,,176,174,236.081547,233.890875,[],[],['21796'],1,0
29.6246,126.1002,8.418690000869386,3.155555555555556,,286,282,305.761344,311.915062,[],[],['8487'],1,0
29.6061,126.6328,4.427965765821512,2.5,,244,242,299.746781,298.682312,[],[],['8487'],1,0
9.9569,107.1477,4.907008137239076,1.2133333333333334,,42,41,32.342922,31.956258,[],[],['8484'],1,0
-1.9121,-155.275,18.64746829077237,4.082242996893195,,234,232,491.2796560000001,499.794594,[],[],['8441'],1,0
21.8067,115.043,8.472499886745645,7.71304347826087,,81,78,66.456898,66.370914,[],[],['8486'],1,0
37.9797,122.2374,54.49707793065695,3.563025210084034,,43,53,43.15884,52.82023,[],[],['8486'],1,0
37.967,122.0679,46.89209199846984,3.416483516483517,,41,49,42.01325,48.933664,[],[],['8486'],1,0
26.6289,120.3091,8.774028347884776,1.9952380952380957,,5,3,3.883338,0.993906,[],[],['8486'],1,0
21.5184,112.0856,69.70588507683082,3.7221518987341766,,14,3,6.3081570000000005,3.335848,[],[],['8486'],1,0
30.9025,124.6357,33.620014252260106,3.1684210526315786,,156,180,130.061648,150.45303099999998,[],[],['8486'],1,0
38.0341,120.0644,4.203216875092175,4.754545454545455,,41,40,19.770664,23.87459,[],[],['8486'],1,0
-45.6847,-60.6367,1.6064083915040597,0.4058823554831393,,389,388,407.522969,406.542125,[],['63203'],[],1,1
38.8938,118.7906,19.078382892232277,1.875,,19,10,6.061832000000001,6.547306,['8486'],[],['8486'],1,0
-45.5684,-60.617,9.303722780249856,0.5955223946873824,,386,386,405.656969,406.260469,[],['63203'],[],1,1
34.2023,122.7526,1.6445200580342991,3.5500000000000003,,211,211,183.062266,183.671766,[],[],['8486'],1,0
32.6342,127.0256,7.133191333297731,2.9333333333333336,,79,76,81.678758,78.914273,[],[],['8327'],1,0
-45.9704,-60.7263,1.9096321943941477,0.4053191559270341,,392,392,407.692219,407.82225,[],['63203'],[],1,1
38.3708,26.228,0.619832315975427,0.6529411764705882,,4,4,4.777514,4.777514,['5697'],[],['5697'],1,0
21.5956,112.2802,43.7850758369221,2.374407582938389,,7,9,6.303535,11.465415,[],[],['8486'],1,0
-45.4436,-60.5768,1.3907855971817822,0.2071428611608488,,385,385,406.945,407.572812,[],['63203'],[],1,1
22.6706,113.7039,8.341059276914573,1.928571428571428,,7,6,0.0,0.0,[],[],['8486'],1,0
17.6765,108.4587,15.012884837415356,2.376,,99,90,98.033953,88.029922,[],[],['8486'],1,0
-45.3815,-60.5977,1.0437647678550996,0.4533333384328418,,380,379,404.563844,404.435219,[],['63203'],[],1,1
-45.7305,-60.6774,6.846832771946777,0.4018518572190293,,390,385,407.622938,403.409969,[],['63203'],[],1,1
21.1683,114.0194,96.1925381272474,2.886557377049182,,99,67,104.93682,77.892859,[],[],['8486'],1,0
-15.573,-118.3353,31.44035256399542,3.2989528864544093,,1197,1223,1568.94175,1591.677125,[],['63203'],[],1,0
30.9887,126.5499,2.539288144340235,2.362962962962963,,203,202,248.052312,246.967672,[],[],['21796'],1,0
33.5454,123.6998,13.553180889347338,2.2081081081081084,,144,139,146.38975,141.63407800000002,[],[],['8327'],1,0
17.6914,108.2675,12.121973028246964,1.9299999931454657,,103,97,104.339094,98.140742,[],[],['8486'],1,0
