MMSI,route_start_time,route_end_time_ppo,initial_distance_km,historical_route_distance_km_ppo,historical_duration_hours_ppo,ppo_distance_km,ppo_steps,ppo_reward,final_distance_km,destination_reached,total_turning_degrees,distance_difference_km,distance_change_percent,absolute_distance_savings_km,route_end_time_baseline,historical_route_distance_km_baseline,historical_duration_hours_baseline,baseline_distance_km,baseline_steps,baseline_final_distance_km,baseline_destination_reached,baseline_turning_degrees,baseline_difference_km,baseline_change_percent,ppo_minus_baseline_km,ppo_vs_baseline_percent
340402302,2024-08-25 09:05:16,2024-08-25 20:42:58,50.10945323531544,95.02045989407137,11.628333333333334,62.0,62,427.8815345494461,1.369503387485252,True,2.4677558387470526,-33.020459894071365,-34.75089462930669,33.020459894071365,2024-08-25 20:42:58,95.02045989407137,11.628333333333334,62.0,62,1.369503387485252,True,0.0,-33.020459894071365,-34.75089462930669,0.0,0.0
340402302,2024-08-26 23:18:42,2024-08-27 01:08:30,29.83965613747678,32.13054132372207,1.83,59.0,59,260.3587049287658,1.7182420791661963,True,606.7355804576127,26.86945867627793,83.62591344341944,-26.86945867627793,2024-08-27 01:08:30,32.13054132372207,1.83,58.0,58,1.522507148971454,True,0.0,25.86945867627793,80.51360982573435,1.0,1.7241379310344827
340402302,2024-09-02 23:15:59,2024-09-03 01:40:47,32.16678864736271,65.47154118741514,2.4133333333333336,73.0,73,270.1760600494341,1.7497941404689423,True,14.604445364538236,7.528458812584859,11.498826323691262,-7.528458812584859,2024-09-03 01:40:47,65.47154118741514,2.4133333333333336,73.0,73,1.7438130835948138,True,0.0,7.528458812584859,11.498826323691262,0.0,0.0
340402302,2024-09-08 08:10:25,2024-09-08 20:36:24,52.20517542183602,76.49846486062316,12.433055555555557,65.0,65,439.3220989774023,1.655212501586555,True,5.10146847389808,-11.49846486062316,-15.030974649717294,11.49846486062316,2024-09-08 20:36:24,76.49846486062316,12.433055555555557,65.0,65,1.655212501586555,True,0.0,-11.49846486062316,-15.030974649717294,0.0,0.0
340402302,2024-09-09 23:38:10,2024-09-10 01:28:34,31.318363174751127,33.30396219858851,1.84,60.0,60,269.3282558277554,1.947644728812942,True,612.5238905756271,26.69603780141149,80.15874400236656,-26.69603780141149,2024-09-10 01:28:34,33.30396219858851,1.84,59.0,59,1.7154975119171003,True,0.0,25.69603780141149,77.15609826899379,1.0,1.694915254237288
340402302,2024-09-15 07:59:23,2024-09-15 20:39:53,47.36790533228609,72.58928576389273,12.675,58.0,58,408.1317788571096,1.5992331157790929,True,1.107688528923518,-14.589285763892732,-20.098401038614043,14.589285763892732,2024-09-15 20:39:53,72.58928576389273,12.675,58.0,58,1.5992331157790929,True,0.0,-14.589285763892732,-20.098401038614043,0.0,0.0
340402302,2024-09-16 23:21:12,2024-09-17 01:13:30,28.849649779776847,29.88708721025226,1.8716666666666664,57.0,57,253.38874629787983,1.875699157799168,True,584.9071150853487,27.11291278974774,90.71781602205488,-27.11291278974774,2024-09-17 01:13:30,29.88708721025226,1.8716666666666664,56.0,56,1.6440195392438564,True,0.0,26.11291278974774,87.37188942517672,1.0,1.7857142857142856
340402302,2024-09-22 07:54:40,2024-09-22 20:49:42,51.23577024017285,76.95827733806388,12.917222222222222,64.0,64,433.58494662522736,1.535457468146069,True,1.0993058093485502,-12.95827733806388,-16.838055354514363,12.95827733806388,2024-09-22 20:49:42,76.95827733806388,12.917222222222222,64.0,64,1.535457468146069,True,0.0,-12.95827733806388,-16.838055354514363,0.0,0.0
340402302,2024-09-23 23:09:01,2024-09-24 01:01:36,29.65600099902002,31.930864283130614,1.8763888888888889,60.0,60,260.22034411075003,1.4183273492071111,True,611.0435585179829,28.069135716869383,87.90596918386134,-28.069135716869383,2024-09-24 01:01:36,31.930864283130614,1.8763888888888889,58.0,58,1.7682121294204731,True,0.0,26.069135716869383,81.64243687773264,2.0,3.4482758620689653
340402302,2024-09-29 07:58:56,2024-09-29 20:19:05,50.26940843438732,76.58070275060011,12.335833333333332,62.0,62,429.8214410902256,1.2881136393403496,True,1.857556066211316,-14.58070275060011,-19.03965650208904,14.58070275060011,2024-09-29 20:19:05,76.58070275060011,12.335833333333332,62.0,62,1.2881136393403496,True,0.0,-14.58070275060011,-19.03965650208904,0.0,0.0
340402302,2024-09-30 23:23:09,2024-09-30 23:59:51,11.839274218835898,15.154433793715553,0.6116666666666667,17.0,17,161.32065238502787,1.8185931154452728,True,188.71362033179255,1.8455662062844471,12.178391033321164,-1.8455662062844471,2024-09-30 23:59:51,15.154433793715553,0.6116666666666667,17.0,17,1.4250654234065918,True,0.0,1.8455662062844471,12.178391033321164,0.0,0.0
345727782,2024-07-01 15:48:03,2024-07-02 01:09:24,28.71228336414427,59.98934552885858,9.355833333333331,61.0,61,253.67849781806456,1.7818391302226186,True,50.96531212915488,1.0106544711414216,1.684723282495613,-1.0106544711414216,2024-07-02 01:09:24,59.98934552885858,9.355833333333331,61.0,61,1.7818391302226186,True,0.0,1.0106544711414216,1.684723282495613,0.0,0.0
345727782,2024-07-15 16:08:25,2024-07-15 18:13:05,31.452431087765053,60.717431300639234,2.077777777777778,31.0,31,311.4306978520423,1.1471969329542513,True,0.7005357750123267,-29.717431300639237,-48.94382167370504,29.717431300639237,2024-07-15 18:13:05,60.717431300639234,2.077777777777778,31.0,31,1.1471969329542513,True,0.0,-29.717431300639237,-48.94382167370504,0.0,0.0
345727782,2024-08-05 17:10:10,2024-08-05 18:33:47,30.585902575345017,49.83998702981908,1.3936111111111111,30.0,30,304.83716375315817,1.2294046962836924,True,0.9448694909206096,-19.83998702981908,-39.807367963296,19.83998702981908,2024-08-05 18:33:47,49.83998702981908,1.3936111111111111,30.0,30,1.2294046962836924,True,0.0,-19.83998702981908,-39.807367963296,0.0,0.0
345727782,2024-08-19 15:38:37,2024-08-19 16:57:44,31.39708757070782,60.493337814335945,1.3186111111111112,30.0,30,305.5839640570517,1.947505699523216,True,0.8032852327921773,-30.493337814335945,-50.40776210419244,30.493337814335945,2024-08-19 16:57:44,60.493337814335945,1.3186111111111112,30.0,30,1.947505699523216,True,0.0,-30.493337814335945,-50.40776210419244,0.0,0.0
345727782,2024-09-02 15:12:14,2024-09-03 16:09:42,32.5386889655005,65.04483662703531,24.95777777777778,35.0,35,309.55119971532,1.9372087940865896,True,17.331682216988384,-30.04483662703531,-46.19096331859713,30.04483662703531,2024-09-03 16:09:42,65.04483662703531,24.95777777777778,35.0,35,1.9372087940865896,True,0.0,-30.04483662703531,-46.19096331859713,0.0,0.0
345727782,2024-09-05 17:20:48,2024-09-05 22:25:49,150.09677631622873,259.137013303312,5.083611111111111,149.0,149,1125.1216470189754,1.5897416352041696,True,1520.4335192372712,-110.13701330331202,-42.501459710195846,110.13701330331202,2024-09-05 22:25:49,259.137013303312,5.083611111111111,149.0,149,1.20021479018373,True,0.0,-110.13701330331202,-42.501459710195846,0.0,0.0
345727782,2024-09-07 17:22:14,2024-09-07 19:09:44,18.294940167311594,32.22500296512042,1.7916666666666667,29.0,29,203.9302296683943,1.6761959309065182,True,1.2905964439988793,-3.2250029651204173,-10.007766232360272,3.2250029651204173,2024-09-07 19:09:44,32.22500296512042,1.7916666666666667,29.0,29,1.6761959309065182,True,0.0,-3.2250029651204173,-10.007766232360272,0.0,0.0
345727782,2024-09-08 20:59:24,2024-09-08 23:08:24,60.02782197038851,113.25740234352124,2.15,59.0,59,506.0390833739865,1.1989067058991791,True,604.6551087132474,-54.25740234352124,-47.906274751872736,54.25740234352124,2024-09-08 23:08:24,113.25740234352124,2.15,59.0,59,1.0814496924943842,True,0.0,-54.25740234352124,-47.906274751872736,0.0,0.0
345727782,2024-09-09 15:22:13,2024-09-10 01:24:44,28.26669048053661,64.14878935868401,10.041944444444445,62.0,62,248.35856163357303,1.872491326894628,True,52.96452365937876,-2.148789358684013,-3.3496958869624014,2.148789358684013,2024-09-10 01:24:44,64.14878935868401,10.041944444444445,62.0,62,1.872491326894628,True,0.0,-2.148789358684013,-3.3496958869624014,0.0,0.0
345727782,2024-09-12 20:50:14,2024-09-12 23:11:06,60.89934229715264,84.20172620990408,2.347777777777778,60.0,60,512.7856106221991,1.0940738604336693,True,612.8027502655,-24.20172620990408,-28.742553507243173,24.20172620990408,2024-09-12 23:11:06,84.20172620990408,2.347777777777778,59.0,59,1.9696286471105349,True,0.0,-25.20172620990408,-29.93017761545579,1.0,1.694915254237288
345727782,2024-09-13 15:02:28,2024-09-14 01:18:42,28.28875699153497,69.92762231810033,10.270555555555555,64.0,64,246.0323849574762,1.928071976387836,True,56.83554259606217,-5.927622318100333,-8.476796609979981,5.927622318100333,2024-09-14 01:18:42,69.92762231810033,10.270555555555555,64.0,64,1.928071976387836,True,0.0,-5.927622318100333,-8.476796609979981,0.0,0.0
385831098,2024-07-01 09:59:34,2024-07-02 01:17:27,124.2915731773121,133.43566492246248,15.298055555555557,137.0,137,941.251511498614,1.8585012736155304,True,80.70004518764915,3.564335077537521,2.671201196178476,-3.564335077537521,2024-07-02 01:17:27,133.43566492246248,15.298055555555557,137.0,137,1.8585012736155304,True,0.0,3.564335077537521,2.671201196178476,0.0,0.0
385831098,2024-07-02 21:00:31,2024-07-02 23:38:03,37.46683636654504,68.27473002650356,2.625555555555556,56.0,56,326.2037882979298,1.5319798404431817,True,571.9344589946313,-12.274730026503562,-17.97843802785985,12.274730026503562,2024-07-02 23:38:03,68.27473002650356,2.625555555555556,55.0,55,1.656263543487965,True,0.0,-13.274730026503562,-19.44310877736235,1.0,1.8181818181818181
385831098,2024-07-29 10:06:07,2024-07-29 19:10:22,129.1311328414196,209.0781782895803,9.070833333333333,160.0,160,961.9572786755002,1.2473164762642903,True,74.03910939267735,-49.07817828958031,-23.473601449504397,49.07817828958031,2024-07-29 19:10:22,209.0781782895803,9.070833333333333,160.0,160,1.2473164762642903,True,0.0,-49.07817828958031,-23.473601449504397,0.0,0.0
