MMSI,route_start_time,route_end_time,historical_route_distance_km,historical_duration_hours,baseline_distance_km,baseline_steps,baseline_final_distance_km,baseline_destination_reached,baseline_turning_degrees,baseline_difference_km,baseline_change_percent
345727782,2024-09-05 17:20:48,2024-09-05 22:25:49,259.137013303312,5.083611111111111,149.0,149,1.2002147901837301,True,0.0,-110.13701330331202,-42.501459710195846
345727782,2024-09-07 17:22:14,2024-09-07 19:09:44,32.22500296512042,1.7916666666666667,29.0,29,1.6761959309065182,True,0.0,-3.2250029651204173,-10.007766232360272
345727782,2024-09-08 20:59:24,2024-09-08 23:08:24,113.25740234352124,2.15,59.0,59,1.0814496924943842,True,0.0,-54.257402343521235,-47.906274751872736
345727782,2024-09-09 15:22:13,2024-09-10 01:24:44,64.14878935868401,10.041944444444445,62.0,62,1.872491326894628,True,0.0,-2.148789358684013,-3.3496958869624014
345727782,2024-09-12 20:50:14,2024-09-12 23:11:06,84.20172620990408,2.347777777777778,59.0,59,1.9696286471105349,True,0.0,-25.20172620990408,-29.93017761545579
345727782,2024-09-13 15:02:28,2024-09-14 01:18:42,69.92762231810033,10.270555555555555,64.0,64,1.928071976387836,True,0.0,-5.927622318100333,-8.476796609979981
385831098,2024-07-01 09:59:34,2024-07-02 01:17:27,133.43566492246248,15.298055555555557,137.0,137,1.8585012736155306,True,0.0,3.564335077537521,2.671201196178476
385831098,2024-07-02 21:00:31,2024-07-02 23:38:03,68.27473002650356,2.625555555555556,55.0,55,1.656263543487965,True,0.0,-13.274730026503562,-19.44310877736235
385831098,2024-07-29 10:06:07,2024-07-29 19:10:22,209.0781782895803,9.070833333333333,160.0,160,1.2473164762642905,True,0.0,-49.07817828958031,-23.473601449504393
385831098,2024-08-01 15:53:11,2024-08-01 22:13:17,230.9547525165915,6.335,208.0,208,1.1265991930952926,True,0.0,-22.954752516591498,-9.939069132142002
385831098,2024-08-05 10:00:44,2024-08-06 01:48:51,185.3329012761596,15.801944444444445,144.0,144,1.4472665129367959,True,0.0,-41.33290127615959,-22.301977140351642
385831098,2024-08-19 10:04:06,2024-08-20 02:33:50,170.22977101637483,16.495555555555555,164.0,164,1.8379517755343922,True,0.0,-6.229771016374826,-3.6596248583190354
396636589,2024-09-11 02:29:21,2024-09-11 17:07:43,62.17740763956197,14.639444444444443,61.0,61,1.218253704364404,True,0.0,-1.1774076395619701,-1.8936261324809789
406647606,2024-07-09 00:47:50,2024-07-09 07:37:33,57.80834325601729,6.828611111111111,66.0,66,1.2974516212772624,True,0.0,8.191656743982712,14.170371061672036
406647606,2024-07-09 09:28:33,2024-07-09 23:37:14,76.99633554141869,14.144722222222224,60.0,60,1.8711806988060529,True,0.0,-16.996335541418688,-22.074213560820485
406647606,2024-09-03 00:56:11,2024-09-03 22:50:47,101.221134809467,21.91,51.0,51,1.245175553661645,True,0.0,-50.221134809467,-49.61526553125536
493087308,2024-08-07 03:07:11,2024-08-07 20:10:13,39.99975231046316,17.050555555555555,36.0,36,1.4991818722066632,True,0.0,-3.9997523104631583,-9.999442695091142
680520589,2024-07-01 05:30:54,2024-07-01 08:17:38,46.234133303284125,2.778888888888889,31.0,31,1.4149674354184316,True,0.0,-15.234133303284125,-32.94997054092502
680520589,2024-07-01 17:49:39,2024-07-01 21:07:29,72.65416355001474,3.297222222222222,50.0,50,1.2829882693805537,True,0.0,-22.654163550014744,-31.180819437030248
