MMSI,segment_id,start_time,end_time,start_lat,start_lon,end_lat,end_lon,route_distance_km,direct_distance_km,duration_hours,average_speed_knots,maximum_speed_knots,num_records,moving_records,route_efficiency
241749307,104,2024-07-17 22:59:02,2024-07-18 02:28:56,37.77319,26.447316666666666,37.5233,24.97126833333333,160.93413961687546,129.9524768649148,3.498333333333333,20.654986020503262,21.6,1073,1073,0.8074885613101327
241749307,105,2024-07-18 19:32:43,2024-07-18 22:22:15,37.527501666666666,24.952951666666667,37.716573333333336,26.131956666666667,105.47489513016592,103.83764313500347,2.825555555555556,20.442539267015707,20.9,764,764,0.9844773299547545
241749307,106,2024-07-20 00:26:24,2024-07-20 02:32:18,37.640605,25.83744833333333,37.52502833333333,24.97404,102.02796760936069,76.08262138676136,2.098333333333333,20.47124183006536,21.0,459,459,0.7457035866681427
241749307,107,2024-07-21 19:38:26,2024-07-21 22:34:32,37.52174166666666,24.95818,37.721181666666666,26.221861666666666,112.73347023051274,111.2960132736558,2.935,21.00399385560676,21.9,651,651,0.9872490667242152
241749307,108,2024-07-22 03:58:58,2024-07-22 06:55:47,37.32828666666666,26.60161,36.90077166666666,26.933778333333333,72.56825197070789,29.46480381337853,2.9469444444444446,19.290106007067138,20.8,566,566,0.4060288488865898
241749307,109,2024-07-22 21:46:53,2024-07-23 00:05:50,37.004601666666666,26.863496666666663,37.32098833333333,26.553,33.76224161259155,27.52093835147696,2.3158333333333334,20.967785234899328,21.8,149,149,0.8151395475237961
241749307,110,2024-07-23 03:41:56,2024-07-23 07:54:45,37.82718833333333,26.75876166666667,37.52573666666667,24.980968333333333,174.6784580469784,156.45786652216972,4.213611111111111,20.842238805970148,21.6,670,670,0.895690678011891
241749307,111,2024-07-23 20:26:04,2024-07-23 21:15:03,37.52178833333333,24.95915,37.52854,25.3034,32.28678745839568,30.35840467363236,0.8163888888888889,20.29051383399209,20.8,253,253,0.940273314982229
241749307,113,2024-07-25 01:46:35,2024-07-25 02:44:23,37.54529333333333,25.384871666666665,37.52220833333333,24.978395,83.50495553827973,35.841882549242186,0.9633333333333334,20.44146341463415,21.0,287,287,0.4292186292202959
241749307,114,2024-07-25 20:00:25,2024-07-25 21:01:25,37.52253833333334,24.969166666666663,37.548375,25.39080833333333,37.99999630116818,37.17823821069402,1.0166666666666666,20.071374045801527,20.4,262,262,0.9783747849878368
