vessel_id,record_count
253195102,2429
508428138,2413
412100117,2408
263203404,2408
221961905,2403
475414659,2396
323810985,2386
312833615,2382
399083435,2379
503855954,2379
771273708,2376
717358210,2366
612505302,2357
479258648,2357
756478028,2352
599122309,2349
783675398,2330
687717591,2329
794583263,2296
422859261,2291
354082316,2289
460140686,2279
480862474,2278
321265918,2267
386377774,2254
392084683,2252
240450501,2252
670659841,2244
626626146,2238
577033492,2237
699201912,2234
492677076,2234
281074684,2230
718717094,2213
203739210,2209
602162825,2206
324701615,2203
556267233,2201
504191727,2184
439964313,2176
568164723,2170
407085203,2149
573549386,2144
765102387,2141
279964080,2140
276032306,2139
519135078,2132
360324935,2131
377797282,2124
600044536,2116
202467447,2109
761988627,2104
788382822,2090
591488878,2082
724957544,2081
676967949,2050
610271229,2040
735486008,2039
639527454,2029
741110750,2026
540947771,2026
572049171,2013
202113676,2011
760971283,2004
325552229,2001
472588463,1993
250471444,1990
448849362,1985
776830867,1984
278507460,1983
454926713,1976
307075102,1972
554733143,1971
434096970,1967
216820736,1956
730004200,1952
352997385,1950
639966408,1949
712130699,1947
675640838,1939
217692843,1937
704155865,1937
768260685,1932
444212886,1922
447093283,1921
626027797,1920
228477023,1920
664173288,1918
700090722,1917
632569232,1913
602872173,1912
793353005,1904
293575253,1899
723244378,1895
223654283,1892
776607632,1891
530166501,1889
353948192,1888
561817137,1887
533050058,1874
702483380,1872
664092710,1867
518298596,1854
275802276,1841
519543359,1840
681940116,1839
674391532,1832
450661550,1831
667999325,1830
544224097,1827
778047079,1822
266395246,1819
371029115,1816
581585385,1815
443785395,1814
691121473,1804
667131130,1803
715094202,1802
466252719,1799
279331626,1798
510818336,1796
714003597,1794
408546238,1790
711501706,1789
398745015,1787
393104988,1784
323900360,1782
289622304,1781
232584116,1774
760373385,1774
288782343,1773
686249137,1771
543900334,1770
285850989,1770
268647577,1769
680875188,1768
493036288,1767
220577591,1766
356334475,1764
600973991,1751
651271649,1749
495842140,1743
407503946,1741
442875947,1740
415447102,1740
524985982,1739
669850386,1725
518644658,1713
297143785,1712
564702909,1709
272880305,1703
712574034,1702
398244172,1698
575278232,1697
289140990,1692
386771259,1688
789471730,1687
476839100,1682
356593053,1681
687587323,1679
543485448,1677
359988948,1672
594012462,1671
472725611,1666
302814756,1664
380380010,1663
552875478,1660
583180260,1660
685816253,1660
777891473,1656
484634498,1656
729004664,1655
786723488,1651
461612024,1649
367815038,1647
736417691,1647
543814543,1643
209334573,1636
756740971,1635
651489092,1628
303388088,1626
715536329,1621
604495175,1620
602782434,1620
697112752,1619
247267266,1619
626512904,1618
367292088,1614
302197827,1614
377773218,1614
757668240,1613
204196647,1611
569801865,1606
606933414,1603
417241216,1598
614812861,1592
654909765,1580
370670354,1575
386632774,1554
485033265,1551
305953462,1550
278734437,1547
542472807,1546
393416501,1541
594665954,1537
619933275,1533
311453004,1531
226072324,1528
765245297,1522
208438958,1520
594417402,1520
384142373,1519
763068152,1518
360596667,1516
691096607,1515
530448420,1514
438295088,1513
752639323,1511
753562171,1510
481385715,1510
217184426,1499
374985453,1495
794529444,1494
212962160,1492
240678560,1489
267875338,1487
