MMSI,records,start_time,end_time,start_lat,start_lon,end_lat,end_lon,duration_hours,start_end_distance_km
406647606,20000,2024-07-09 00:47:50,2024-09-03 22:50:47,37.138505,24.67282,37.384391666666666,25.137155,1366.0491666666667,41.09526836594056
408286708,20000,2024-07-01 22:08:00,2024-08-03 06:29:28,37.60119666666667,25.016193333333337,37.44683666666667,25.29467333333333,776.3577777777778,24.56051182901092
419321940,20000,2024-07-01 07:17:26,2024-08-04 08:08:18,37.26347833333333,24.820216666666667,37.09397166666667,25.12516,816.8477777777778,27.018412224211243
435026421,20000,2024-07-01 00:01:24,2024-07-10 18:26:42,37.438613333333336,24.94061,37.435745,24.940341666666665,234.42166666666665,0.02433661898046418
439165167,20000,2024-07-10 23:55:45,2024-07-27 08:48:27,37.00745833333333,25.277705,37.397396666666666,25.22335333333333,392.87833333333333,4.8728545139764785
439729450,20000,2024-07-01 00:00:04,2024-07-10 21:36:19,37.33025,25.48113333333333,37.30021666666666,25.873066666666663,237.60416666666666,34.66052788129571
440238215,20000,2024-07-01 09:25:30,2024-07-21 09:33:54,37.45021666666667,25.1638,37.43663333333333,24.949866666666665,480.14,18.886832454774787
446911976,20000,2024-07-01 00:38:41,2024-09-04 21:00:17,37.44896666666666,25.32662833333333,37.437,25.008668333333333,1580.36,28.070835263118
449094058,20000,2024-07-01 01:25:40,2024-07-06 01:26:06,37.10602333333333,25.372511666666668,37.10599333333333,25.37251,120.00722222222223,0.00015885436923053904
454406528,20000,2024-07-13 21:40:54,2024-09-12 08:49:29,37.05860833333333,24.96824833333333,37.45496833333333,25.301303333333333,1451.1430555555555,29.48624476077378
462919369,20000,2024-07-06 03:43:25,2024-08-25 23:56:42,37.55765333333333,25.346108333333333,37.43613666666667,24.939371666666663,1220.221388888889,35.883241209839994
477832320,20000,2024-07-01 08:31:16,2024-07-14 09:52:21,37.28896666666667,24.808133333333338,37.16945,25.210316666666667,313.3513888888889,35.608322322239026
493087308,20000,2024-07-11 23:08:14,2024-09-08 05:32:00,37.53758166666667,25.154006666666668,37.431711666666665,24.93767,1398.3961111111112,19.08955488740095
