MMSI,route_start_time,route_end_time_ppo,initial_distance_km,historical_route_distance_km_ppo,historical_duration_hours_ppo,ppo_distance_km,ppo_steps,ppo_reward,final_distance_km,destination_reached,total_turning_degrees,distance_difference_km,distance_change_percent,absolute_distance_savings_km,route_end_time_baseline,historical_route_distance_km_baseline,historical_duration_hours_baseline,baseline_distance_km,baseline_steps,baseline_final_distance_km,baseline_destination_reached,baseline_turning_degrees,baseline_difference_km,baseline_change_percent,ppo_vs_baseline_difference_km,ppo_vs_historical_difference_km,baseline_vs_historical_difference_km
680520589,2024-07-01 17:49:39,2024-07-01 21:07:29,40.62419683971781,72.65416355001474,3.297222222222222,46.0,46,284.97129504409736,1.675823221432272,True,435.0,-26.654163550014744,-36.68635388206783,26.654163550014744,2024-07-01 21:07:29,72.65416355001474,3.297222222222222,50.0,50,1.2829882693805537,True,0.0,-22.654163550014744,-31.180819437030248,-4.0,-26.654163550014744,-22.654163550014744
680520589,2024-07-02 06:00:42,2024-07-02 08:52:24,42.58065228017055,62.88588298141983,2.861666666666667,74.0,74,278.0626121056906,1.903593861137528,True,590.0,11.114117018580169,17.6734689753246,-11.114117018580169,2024-07-02 08:52:24,62.88588298141983,2.861666666666667,51.0,51,1.4524925016515255,True,0.0,-11.885882981419831,-18.900717327816828,23.0,11.114117018580167,-11.885882981419833
680520589,2024-07-02 18:04:08,2024-07-02 22:42:47,29.12646300971403,66.2440672488276,4.644166666666667,43.0,43,228.2095778389613,1.606627631387453,True,425.0,-23.244067248827605,-35.088526737824935,23.244067248827605,2024-07-02 22:42:47,66.2440672488276,4.644166666666667,61.0,61,1.5913079989388248,True,0.0,-5.244067248827605,-7.9162821164493264,-18.0,-23.244067248827605,-5.244067248827605
680520589,2024-07-03 06:05:21,2024-07-03 09:03:32,42.61873777028931,57.93551162278536,2.9697222222222224,74.0,74,278.6695285740942,1.8087270524711363,True,590.0,16.064488377214637,27.72822389454253,-16.064488377214637,2024-07-03 09:03:32,57.93551162278536,2.9697222222222224,49.0,49,1.777911908126086,True,0.0,-8.935511622785363,-15.423203096856971,25.0,16.064488377214637,-8.935511622785363
680520589,2024-07-03 18:14:04,2024-07-03 21:20:23,32.52799324763499,60.68674049117095,3.105277777777778,35.0,35,246.9633470512152,1.6905466246625422,True,320.0,-25.68674049117095,-42.32677564040205,25.68674049117095,2024-07-03 21:20:23,60.68674049117095,3.105277777777778,37.0,37,1.4077169841546875,True,0.0,-23.68674049117095,-39.03116281985359,-2.0,-25.68674049117095,-23.68674049117095
680520589,2024-07-04 06:08:48,2024-07-04 09:13:03,43.15059532417097,59.89267405844872,3.0708333333333333,75.0,75,282.3704556422461,1.590666859620049,True,600.0,15.10732594155128,25.223996388620375,-15.10732594155128,2024-07-04 09:13:03,59.89267405844872,3.0708333333333333,50.0,50,1.70652371578088,True,0.0,-9.89267405844872,-16.517335740919744,25.0,15.10732594155128,-9.89267405844872
680520589,2024-07-04 18:24:30,2024-07-04 22:54:06,29.30269028047794,61.83592374556648,4.493333333333333,43.0,43,228.3817343001088,1.745768251811447,True,425.0,-18.835923745566483,-30.46113424790065,18.835923745566483,2024-07-04 22:54:06,61.83592374556648,4.493333333333333,61.0,61,1.6980744315771772,True,0.0,-0.8359237455664825,-1.3518416074869697,-18.0,-18.835923745566483,-0.8359237455664825
680520589,2024-07-05 06:49:08,2024-07-05 09:00:18,47.45756780468847,52.94490102063664,2.186111111111111,48.0,48,317.6344510971585,1.5574543135667684,True,350.0,-4.944901020636642,-9.339711521434785,4.944901020636642,2024-07-05 09:00:18,52.94490102063664,2.186111111111111,49.0,49,1.1157273958558118,True,0.0,-3.9449010206366415,-7.450955511464674,-1.0,-4.944901020636642,-3.9449010206366424
680520589,2024-07-05 17:51:33,2024-07-05 21:00:07,41.24727498527884,59.69081499474828,3.142777777777778,45.0,45,287.24053947193295,1.9562394976872544,True,405.0,-14.69081499474828,-24.6115168573939,14.69081499474828,2024-07-05 21:00:07,59.69081499474828,3.142777777777778,48.0,48,1.3515779633577751,True,0.0,-11.69081499474828,-19.585617981220164,-3.0,-14.69081499474828,-11.69081499474828
680520589,2024-07-06 05:58:21,2024-07-06 08:54:20,42.24610292689239,61.796094270193066,2.933055555555556,74.0,74,276.4984848635396,1.8704867756119392,True,590.0,12.203905729806934,19.74866838096175,-12.203905729806934,2024-07-06 08:54:20,61.796094270193066,2.933055555555556,52.0,52,1.6181034130754437,True,0.0,-9.796094270193066,-15.8522870836485,22.0,12.203905729806934,-9.796094270193066
680520589,2024-07-09 06:07:13,2024-07-09 07:25:22,15.200755918367369,23.48586691077105,1.3025,45.0,45,149.60877232469144,1.7181146900852593,True,395.0,21.51413308922895,91.60459424796524,-21.51413308922895,2024-07-09 07:25:22,23.48586691077105,1.3025,15.0,15,1.5989760096303405,True,0.0,-8.485866910771051,-36.13180191734492,30.0,21.51413308922895,-8.485866910771051
680520589,2024-07-09 18:06:04,2024-07-09 22:15:04,29.612956135115773,69.16925244894095,4.15,43.0,43,230.15171663825785,1.6998244512956149,True,420.0,-26.169252448940952,-37.83364937803608,26.169252448940952,2024-07-09 22:15:04,69.16925244894095,4.15,61.0,61,1.9093550953373173,True,0.0,-8.169252448940952,-11.810525861865132,-18.0,-26.169252448940952,-8.169252448940952
680520589,2024-07-10 06:18:20,2024-07-10 09:14:06,53.13156231977323,66.68985916579665,2.9294444444444445,69.0,69,337.2539482183794,1.4835072823199775,True,530.0,2.3101408342033523,3.4640061669048454,-2.3101408342033523,2024-07-10 09:14:06,66.68985916579665,2.9294444444444445,52.0,52,1.9224480844242555,True,0.0,-14.689859165796648,-22.027125787260115,17.0,2.3101408342033523,-14.689859165796648
680520589,2024-07-10 18:32:16,2024-07-10 22:06:22,40.86008937436534,66.22323621454356,3.5683333333333334,47.0,47,287.33600201636364,1.3988018812177554,True,450.0,-19.22323621454356,-29.027932359370052,19.22323621454356,2024-07-10 22:06:22,66.22323621454356,3.5683333333333334,50.0,50,1.405546936052828,True,0.0,-16.22323621454356,-24.49780038230857,-3.0,-19.22323621454356,-16.22323621454356
680520589,2024-07-11 05:56:48,2024-07-11 08:26:40,24.327379561757624,45.36440801402063,2.497777777777778,55.0,55,192.4631761477396,1.7380532903640966,True,465.0,9.635591985979367,21.24042263044924,-9.635591985979367,2024-07-11 08:26:40,45.36440801402063,2.497777777777778,29.0,29,1.777193127244005,True,0.0,-16.364408014020633,-36.07323170394495,26.0,9.635591985979367,-16.364408014020633
706899810,2024-07-02 15:01:33,2024-07-03 06:21:10,22.99554061061882,27.128808072346363,15.326944444444443,26.0,26,199.38594191378968,1.914417736552937,True,210.0,-1.128808072346363,-4.160920263566643,1.128808072346363,2024-07-03 06:21:10,27.128808072346363,15.326944444444443,22.0,22,1.7101443603074058,True,0.0,-5.128808072346363,-18.905394069171773,4.0,-1.128808072346363,-5.128808072346363
706899810,2024-07-21 15:51:20,2024-07-22 15:24:36,35.44875345390643,63.645766057329496,23.55444444444445,36.0,36,264.85622155439785,1.3799147883493448,True,265.0,-27.645766057329496,-43.43692875410962,27.645766057329496,2024-07-22 15:24:36,63.645766057329496,23.55444444444445,35.0,35,1.094601718438316,True,0.0,-28.645766057329496,-45.00812517760657,1.0,-27.645766057329496,-28.645766057329496
706899810,2024-07-23 02:34:56,2024-07-23 04:30:18,45.29126198998695,45.3126124619201,1.9227777777777777,50.0,50,308.22162468801565,1.2744702268999637,True,360.0,4.687387538079904,10.344553720046708,-4.687387538079904,2024-07-23 04:30:18,45.3126124619201,1.9227777777777777,45.0,45,1.1782084403547723,True,0.0,-0.3126124619200965,-0.6899016519579629,5.0,4.6873875380799035,-0.3126124619200965
706899810,2024-09-26 13:35:26,2024-09-26 14:37:29,27.50706104893042,40.33330448946538,1.034166666666667,26.0,26,223.98759060195837,1.9636797357195304,True,170.0,-14.333304489465377,-35.53714398285685,14.333304489465377,2024-09-26 14:37:29,40.33330448946538,1.034166666666667,27.0,27,1.0205202217396177,True,0.0,-13.333304489465377,-33.057803366812884,-1.0,-14.333304489465377,-13.333304489465377
